Gravite,Environnement,Route,Vitesse,count
LEGER_MATERIEL,Commercial,Hors chemin public: terrain de stationnement,30 Km/h,23
LEGER_MATERIEL,Commercial,Hors chemin public: terrain de stationnement,40 Km/h,19
LEGER_MATERIEL,Commercial,Hors chemin public: terrain de stationnement,50 Km/h,43
LEGER_MATERIEL,Commercial,Hors chemin public: terrain de stationnement,70 Km/h,2
LEGER_MATERIEL,Commercial,Hors chemin public: terrain privé,10 Km/h,14
LEGER_MATERIEL,Commercial,Hors chemin public: terrain privé,20 Km/h,1
LEGER_MATERIEL,Commercial,Hors chemin public: terrain privé,30 Km/h,8
LEGER_MATERIEL,Commercial,Hors chemin public: terrain privé,40 Km/h,6
LEGER_MATERIEL,Commercial,Hors chemin public: terrain privé,50 Km/h,25
LEGER_MATERIEL,Commercial,Hors chemin public: autre,10 Km/h,2
LEGER_MATERIEL,Commercial,Hors chemin public: autre,30 Km/h,1
LEGER_MATERIEL,Commercial,Hors chemin public: autre,40 Km/h,1
LEGER_MATERIEL,Industriel,Chemin public: bretelle/collecteur d’autoroute/voie de service,30 Km/h,7
LEGER_MATERIEL,Industriel,Chemin public: bretelle/collecteur d’autoroute/voie de service,40 Km/h,8
LEGER_MATERIEL,Industriel,Chemin public: bretelle/collecteur d’autoroute/voie de service,50 Km/h,308
LEGER_MATERIEL,Industriel,Chemin public: bretelle/collecteur d’autoroute/voie de service,60 Km/h,28
LEGER_MATERIEL,Industriel,Chemin public: bretelle/collecteur d’autoroute/voie de service,70 Km/h,17
LEGER_MATERIEL,Industriel,Chemin public: bretelle/collecteur d’autoroute/voie de service,90 Km/h,2
LEGER_MATERIEL,Industriel,Chemin public: route numérotée,30 Km/h,1
LEGER_MATERIEL,Industriel,Chemin public: route numérotée,40 Km/h,5
LEGER_MATERIEL,Industriel,Chemin public: route numérotée,50 Km/h,52
LEGER_MATERIEL,Industriel,Chemin public: route numérotée,60 Km/h,9
LEGER_MATERIEL,Industriel,Chemin public: route numérotée,70 Km/h,1
LEGER_MATERIEL,Industriel,Chemin public: artère principale,10 Km/h,1
LEGER_MATERIEL,Industriel,Chemin public: artère principale,20 Km/h,1
LEGER_MATERIEL,Industriel,Chemin public: artère principale,30 Km/h,15
LEGER_MATERIEL,Industriel,Chemin public: artère principale,40 Km/h,86
LEGER_MATERIEL,Industriel,Chemin public: artère principale,50 Km/h,857
LEGER_MATERIEL,Industriel,Chemin public: artère principale,60 Km/h,129
LEGER_MATERIEL,Industriel,Chemin public: artère principale,70 Km/h,18
LEGER_MATERIEL,Industriel,Chemin public: rue résidentielle,30 Km/h,6
LEGER_MATERIEL,Industriel,Chemin public: rue résidentielle,40 Km/h,53
LEGER_MATERIEL,Industriel,Chemin public: rue résidentielle,50 Km/h,77
LEGER_MATERIEL,Industriel,Chemin public: rue résidentielle,60 Km/h,2
LEGER_MATERIEL,Industriel,Chemin public: rue résidentielle,90 Km/h,1
LEGER_MATERIEL,Industriel,Chemin public: chemin/rang,30 Km/h,3
LEGER_MATERIEL,Industriel,Chemin public: chemin/rang,50 Km/h,20
LEGER_MATERIEL,Industriel,Chemin public: ruelle,40 Km/h,1
LEGER_MATERIEL,Industriel,Chemin public: ruelle,50 Km/h,1
LEGER_MATERIEL,Industriel,Chemin public: autre,30 Km/h,4
LEGER_MATERIEL,Industriel,Chemin public: autre,40 Km/h,15
LEGER_MATERIEL,Industriel,Chemin public: autre,50 Km/h,63
LEGER_MATERIEL,Industriel,Hors chemin public: terrain de stationnement,10 Km/h,8
LEGER_MATERIEL,Industriel,Hors chemin public: terrain de stationnement,30 Km/h,1
LEGER_MATERIEL,Industriel,Hors chemin public: terrain de stationnement,40 Km/h,1
LEGER_MATERIEL,Industriel,Hors chemin public: terrain de stationnement,50 Km/h,10
LEGER_MATERIEL,Industriel,Hors chemin public: terrain de stationnement,70 Km/h,1
LEGER_MATERIEL,Industriel,Hors chemin public: terrain privé,10 Km/h,5
LEGER_MATERIEL,Industriel,Hors chemin public: terrain privé,30 Km/h,7
LEGER_MATERIEL,Industriel,Hors chemin public: terrain privé,40 Km/h,2
LEGER_MATERIEL,Industriel,Hors chemin public: terrain privé,50 Km/h,4
LEGER_MATERIEL,Industriel,Hors chemin public: chemin privé,10 Km/h,1
LEGER_MATERIEL,Industriel,Hors chemin public: chemin privé,30 Km/h,1
LEGER_MATERIEL,Industriel,Hors chemin public: chemin privé,50 Km/h,2
LEGER_MATERIEL,Industriel,Hors chemin public: autre,30 Km/h,1
LEGER_MATERIEL,Rural,Chemin public: bretelle/collecteur d’autoroute/voie de service,40 Km/h,1
LEGER_MATERIEL,Rural,Chemin public: bretelle/collecteur d’autoroute/voie de service,50 Km/h,13
LEGER_MATERIEL,Rural,Chemin public: route numérotée,50 Km/h,3
LEGER_MATERIEL,Rural,Chemin public: artère principale,10 Km/h,1
LEGER_MATERIEL,Rural,Chemin public: artère principale,30 Km/h,1
LEGER_MATERIEL,Rural,Chemin public: artère principale,40 Km/h,1
LEGER_MATERIEL,Rural,Chemin public: artère principale,50 Km/h,15
LEGER_MATERIEL,Rural,Chemin public: artère principale,70 Km/h,1
LEGER_MATERIEL,Rural,Chemin public: rue résidentielle,40 Km/h,1
LEGER_MATERIEL,Rural,Chemin public: rue résidentielle,50 Km/h,1
LEGER_MATERIEL,Rural,Chemin public: chemin/rang,50 Km/h,1
LEGER_MATERIEL,Rural,Chemin public: ruelle,50 Km/h,1
LEGER_MATERIEL,Rural,Chemin public: autre,50 Km/h,1
LEGER_MATERIEL,Rural,Hors chemin public: terrain de stationnement,10 Km/h,1
LEGER_MATERIEL,Forestier,Chemin public: artère principale,40 Km/h,1
LEGER_MATERIEL,Forestier,Chemin public: artère principale,60 Km/h,1
LEGER_MATERIEL,Forestier,Hors chemin public: terrain privé,50 Km/h,1
LEGER_MATERIEL,Recreatif,Chemin public: artère principale,30 Km/h,3
LEGER_MATERIEL,Recreatif,Chemin public: artère principale,40 Km/h,2
LEGER_MATERIEL,Recreatif,Chemin public: artère principale,50 Km/h,14
LEGER_MATERIEL,Recreatif,Chemin public: rue résidentielle,30 Km/h,8
LEGER_MATERIEL,Recreatif,Chemin public: rue résidentielle,40 Km/h,3
LEGER_MATERIEL,Recreatif,Chemin public: rue résidentielle,50 Km/h,1
LEGER_MATERIEL,Recreatif,Chemin public: rue résidentielle,100 Km/h,1
LEGER_MATERIEL,Recreatif,Chemin public: chemin/rang,10 Km/h,1
LEGER_MATERIEL,Recreatif,Chemin public: chemin/rang,40 Km/h,1
LEGER_MATERIEL,Recreatif,Chemin public: chemin/rang,50 Km/h,1
LEGER_MATERIEL,Autre,Chemin public: bretelle/collecteur d’autoroute/voie de service,50 Km/h,18
LEGER_MATERIEL,Autre,Chemin public: bretelle/collecteur d’autoroute/voie de service,70 Km/h,2
LEGER_MATERIEL,Autre,Chemin public: route numérotée,40 Km/h,1
LEGER_MATERIEL,Autre,Chemin public: route numérotée,50 Km/h,2
LEGER_MATERIEL,Autre,Chemin public: route numérotée,100 Km/h,2
LEGER_MATERIEL,Autre,Chemin public: artère principale,30 Km/h,1
LEGER_MATERIEL,Autre,Chemin public: artère principale,40 Km/h,2
LEGER_MATERIEL,Autre,Chemin public: artère principale,50 Km/h,8
LEGER_MATERIEL,Autre,Chemin public: artère principale,60 Km/h,1
LEGER_MATERIEL,Autre,Chemin public: rue résidentielle,40 Km/h,1
LEGER_MATERIEL,Autre,Chemin public: autre,50 Km/h,1
LEGER_MATERIEL,Autre,Chemin public: autre,70 Km/h,1
LEGER_MATERIEL,Autre,Hors chemin public: terrain de stationnement,10 Km/h,2
LEGER_MATERIEL,Autre,Hors chemin public: terrain de stationnement,20 Km/h,1
LEGER_MATERIEL,Autre,Hors chemin public: terrain privé,20 Km/h,1
LEGER_MATERIEL,Autre,Hors chemin public: chemin privé,50 Km/h,1
LEGER_MATERIEL,Autre,Hors chemin public: autre,20 Km/h,1
